id,lat,lon,date,borough,severity,casualties_num
721427,51.546156,-0.205428,2019-03-14 09:45:00+00:00,Brent,Serious,1
721429,51.474217,-0.07563099999999999,2019-03-12 19:20:00+00:00,Southwark,Slight,1
721435,51.536881,0.0811,2019-03-14 15:15:00+00:00,Barking and Dagenham,Slight,1
721437,51.407778,-0.284584,2019-03-13 08:20:00+00:00,Kingston,Serious,1
721438,51.482887,-0.186222,2019-03-14 15:45:00+00:00,Kensington and Chelsea,Serious,1
721442,51.517017,-0.149093,2019-03-14 18:25:00+00:00,City of Westminster,Slight,1
721448,51.526237,-0.154356,2019-03-14 20:15:00+00:00,City of Westminster,Slight,1
721450,51.501376,-0.050655,2019-03-14 17:48:00+00:00,Southwark,Slight,1
721456,51.508697,-0.20388799999999999,2019-03-14 20:30:00+00:00,Kensington and Chelsea,Slight,1
721460,51.489016,-0.10528599999999999,2019-03-14 14:25:00+00:00,Southwark,Slight,1
721462,51.540807,-0.137457,2019-03-15 07:50:00+00:00,Camden,Slight,1
721475,51.485131,-0.109177,2019-02-25 08:00:00+00:00,Lambeth,Slight,1
721476,51.485155,-0.16846000000000003,2019-03-15 08:36:00+00:00,Kensington and Chelsea,Slight,1
721477,51.371544,-0.159937,2019-03-15 09:00:00+00:00,Sutton,Slight,1
721481,51.551076,-0.031164999999999998,2019-03-15 09:19:00+00:00,Hackney,Slight,1
721482,51.49043,-0.277983,2019-03-15 10:13:00+00:00,Hounslow,Slight,2
721493,51.591208,-0.175097,2019-03-15 15:50:00+00:00,Barnet,Serious,1
721495,51.554064,-0.110604,2019-03-15 11:50:00+00:00,Islington,Slight,1
734652,51.514206,-0.156169,2019-09-23 18:37:00+00:00,City of Westminster,Slight,1
734653,51.540915,-0.196736,2019-09-23 17:00:00+00:00,Camden,Slight,1
734654,51.484891,-0.065776,2019-09-23 18:40:00+00:00,Southwark,Slight,1
734655,51.504349,-0.017171,2019-07-05 18:25:00+00:00,Tower Hamlets,Serious,1
734659,51.532414,-0.077085,2019-09-23 20:15:00+00:00,Hackney,Slight,1
734662,51.496489,-0.087558,2019-09-23 04:30:00+00:00,Southwark,Slight,1
734667,51.492495,-0.067716,2019-09-19 05:30:00+00:00,Southwark,Slight,1
734668,51.522186,-0.094468,2019-09-23 15:00:00+00:00,City of London,Serious,1
734669,51.479424,0.036704,2019-09-23 20:43:00+00:00,Greenwich,Slight,1
734676,51.512391,-0.168852,2019-09-23 23:40:00+00:00,City of Westminster,Slight,1
734677,51.509107,-0.018852,2019-09-23 22:00:00+00:00,Tower Hamlets,Slight,1
734679,51.53929,-0.142696,2019-09-24 02:20:00+00:00,Camden,Serious,1
734682,51.479611,-0.11483499999999999,2019-09-24 07:05:00+00:00,Lambeth,Slight,1
734688,51.510424,-0.070848,2019-09-06 07:00:00+00:00,Tower Hamlets,Serious,2
734696,51.547644,-0.483595,2019-08-20 16:25:00+00:00,Hillingdon,Slight,1
734697,51.534509,-0.13836299999999999,2019-09-23 20:00:00+00:00,Camden,Slight,1
734698,51.526953,-0.10844000000000001,2019-09-23 13:40:00+00:00,Islington,Slight,1
741443,51.567968,-0.031892,2019-12-23 13:30:00+00:00,Waltham Forest,Serious,1
741457,51.576212,-0.294904,2019-12-24 07:48:00+00:00,Brent,Slight,1
741461,51.593087,-0.25854099999999997,2019-12-08 11:15:00+00:00,Barnet,Slight,1
741468,51.43571,-0.093752,2019-12-24 11:32:00+00:00,Lambeth,Serious,1
741469,51.350188,0.088728,2019-12-24 08:35:00+00:00,Bromley,Serious,1
741471,51.510051,-0.140153,2019-12-20 16:25:00+00:00,City of Westminster,Slight,1
741480,51.592599,0.022517,2019-12-17 11:45:00+00:00,Redbridge,Slight,1
