,cord,feature_type,BOROUGH,FEATURE_ID,SVDATE,SIG_HEAD,SIG_SEPARA,SIG_EARLY,SIG_TWOSTG,SIG_GATE,PHOTO1_URL,PHOTO2_URL,cord_X,cord_Y
87,"[-0.1272652231, 51.5009588532]",Point,Westminster,RWG064223,2017-06-30,1,0,1,0,0,https://cycleassetimages.data.tfl.gov.uk/RWG064223_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG064223_2.jpg,-0.1272652231, 51.5009588532
88,"[-0.1419929166, 51.5022801915]",Point,Westminster,RWG152603,2017-12-19,1,1,0,0,0,https://cycleassetimages.data.tfl.gov.uk/RWG152603_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG152603_2.jpg,-0.1419929166, 51.5022801915
89,"[-0.1290853745, 51.5242234967]",Point,Camden,RWG064200,2017-06-28,1,0,0,0,0,https://cycleassetimages.data.tfl.gov.uk/RWG064200_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG064200_2.jpg,-0.1290853745, 51.5242234967
90,"[-0.1288601897, 51.524186268]",Point,Camden,RWG064202,2017-06-28,1,0,0,0,0,https://cycleassetimages.data.tfl.gov.uk/RWG064202_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG064202_2.jpg,-0.1288601897, 51.524186268
91,"[-0.1359245268, 51.5222034029]",Point,Camden,RWG064184,2017-06-27,1,0,0,0,0,https://cycleassetimages.data.tfl.gov.uk/RWG064184_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG064184_2.jpg,-0.1359245268, 51.5222034029
92,"[-0.1359221779, 51.5222116389]",Point,Camden,RWG064186,2017-06-27,1,0,0,0,0,https://cycleassetimages.data.tfl.gov.uk/RWG064186_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG064186_2.jpg,-0.1359221779, 51.5222116389
93,"[-0.1286842094, 51.5243935772]",Point,Camden,RWG064187,2017-06-27,1,0,0,0,0,https://cycleassetimages.data.tfl.gov.uk/RWG064187_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG064187_2.jpg,-0.1286842094, 51.5243935772
94,"[-0.1196754488, 51.5090595235]",Point,Westminster,RWG064281,2017-07-04,1,1,0,0,0,https://cycleassetimages.data.tfl.gov.uk/RWG064281_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG064281_2.jpg,-0.1196754488, 51.5090595235
95,"[-0.1233821324, 51.5047358911]",Point,Westminster,RWG064348,2017-09-10,1,0,0,0,0,https://cycleassetimages.data.tfl.gov.uk/RWG064348_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG064348_2.jpg,-0.1233821324, 51.5047358911
96,"[-0.1193127856, 51.5113882918]",Point,Westminster,RWG064349,2017-09-10,1,0,0,0,0,https://cycleassetimages.data.tfl.gov.uk/RWG064349_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG064349_2.jpg,-0.1193127856, 51.5113882918
97,"[-0.1192662892, 51.5114103951]",Point,Westminster,RWG064350,2017-09-10,1,0,0,0,0,https://cycleassetimages.data.tfl.gov.uk/RWG064350_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG064350_2.jpg,-0.1192662892, 51.5114103951
